name,price,category,stock,rating,review,comment
Milk,1500,dairy,120,4.5,250,"Very fresh and tasty"
Bread,800,bakery,200,4.2,180,"Soft and good for breakfast"
Laptop,450000,electronics,35,4.8,95,"Fast and reliable for work"
Television,250000,electronics,50,4.6,75,"Great picture quality"
Rice,20000,groceries,300,4.7,320,"Clean and well packaged"
Beans,15000,groceries,250,4.4,210,"Good quality beans"
Yam,5000,agriculture,500,4.3,410,"Fresh and large tubers"
Cassava,3000,agriculture,600,4.1,480,"Nice for fufu and garri"
Phone,120000,electronics,100,4.5,150,"Battery lasts long"
Shirt,7000,clothing,150,4.0,90,"Fits well and comfortable"
Trouser,10000,clothing,120,4.2,85,"Good material and stitching"
Shoes,25000,clothing,80,4.6,110,"Very durable and stylish"
Bag,15000,accessories,90,4.3,70,"Spacious and strong"
Watch,35000,accessories,60,4.7,45,"Looks expensive and classy"
Sugar,4000,groceries,200,4.5,260,"Fine crystals and sweet"
Salt,1500,groceries,400,4.6,300,"Clean and well iodated"
Groundnut,2500,groceries,350,4.4,190,"Crunchy and fresh"
Palm oil,12000,groceries,180,4.5,160,"Rich red colour and thick"
Vegetable oil,15000,groceries,160,4.6,140,"Light and healthy"
Fish,18000,protein,220,4.5,205,"Fresh and well frozen"
Chicken,25000,protein,140,4.7,130,"Tender and juicy"
Beef,22000,protein,130,4.6,120,"Good cut and fresh"
Eggs,3000,protein,500,4.8,450,"Very fresh and large"
Mango,2000,fruits,300,4.4,220,"Sweet and juicy"
Orange,1500,fruits,400,4.5,310,"Sweet and easy to peel"
Pineapple,2500,fruits,200,4.3,180,"Ripe and sweet"
Banana,1000,fruits,450,4.6,350,"Fresh and healthy"
